date,city,temperature_C,load_shedding_hours,day_of_week
2024-03-03,Lahore,40.2,2.75,Sunday
2024-03-03,Karachi,42.8,0.0,Sunday
2024-03-03,Islamabad,32.2,2.9,Sunday
2024-03-04,Lahore,45.3,0.0,Monday
2024-03-04,Karachi,27.8,2.47,Monday
2024-03-04,Islamabad,14.3,4.84,Monday
2024-03-05,Lahore,24.7,4.11,Tuesday
2024-03-05,Karachi,33.7,5.2,Tuesday
2024-03-05,Islamabad,32.7,1.68,Tuesday
2024-03-06,Lahore,23.7,4.79,Wednesday
2024-03-06,Karachi,25.4,6.51,Wednesday
2024-03-06,Islamabad,34.1,1.62,Wednesday
2024-03-07,Lahore,18.0,7.03,Thursday
2024-03-07,Karachi,31.4,4.62,Thursday
2024-03-07,Islamabad,17.4,4.2,Thursday
2024-03-08,Lahore,30.0,3.06,Friday
2024-03-08,Karachi,29.7,3.98,Friday
2024-03-08,Islamabad,20.6,4.35,Friday
2024-03-09,Lahore,30.8,3.63,Saturday
2024-03-09,Karachi,35.6,0.39,Saturday
2024-03-09,Islamabad,17.8,6.95,Saturday
2024-03-10,Lahore,32.3,1.49,Sunday
2024-03-10,Karachi,39.8,1.55,Sunday
2024-03-10,Islamabad,34.1,2.42,Sunday
2024-03-11,Lahore,44.4,3.23,Monday
2024-03-11,Karachi,30.8,4.33,Monday
2024-03-11,Islamabad,30.9,4.91,Monday
2024-03-12,Lahore,23.2,5.15,Tuesday
2024-03-12,Karachi,37.3,0.0,Tuesday
2024-03-12,Islamabad,19.9,1.62,Tuesday
2024-03-13,Lahore,28.1,4.39,Wednesday
2024-03-13,Karachi,39.5,1.53,Wednesday
2024-03-13,Islamabad,36.8,0.0,Wednesday
2024-03-14,Lahore,18.1,4.9,Thursday
2024-03-14,Karachi,33.9,2.3,Thursday
2024-03-14,Islamabad,14.6,5.43,Thursday
2024-03-15,Lahore,20.9,5.53,Friday
2024-03-15,Karachi,33.8,0.95,Friday
2024-03-15,Islamabad,23.9,2.43,Friday
2024-03-16,Lahore,29.6,4.51,Saturday
2024-03-16,Karachi,27.1,4.24,Saturday
2024-03-16,Islamabad,23.8,2.84,Saturday
2024-03-17,Lahore,29.3,1.57,Sunday
2024-03-17,Karachi,29.2,1.33,Sunday
2024-03-17,Islamabad,38.8,1.59,Sunday
2024-03-18,Lahore,25.1,4.14,Monday
2024-03-18,Karachi,31.4,2.43,Monday
2024-03-18,Islamabad,30.7,4.02,Monday
2024-03-19,Lahore,26.3,2.76,Tuesday
2024-03-19,Karachi,30.6,0.0,Tuesday
2024-03-19,Islamabad,17.9,7.07,Tuesday
2024-03-20,Lahore,41.5,0.71,Wednesday
2024-03-20,Karachi,34.9,2.65,Wednesday
2024-03-20,Islamabad,45.5,2.1,Wednesday
2024-03-21,Lahore,29.1,1.72,Thursday
2024-03-21,Karachi,24.0,4.31,Thursday
2024-03-21,Islamabad,22.5,2.12,Thursday
2024-03-22,Lahore,25.5,2.13,Friday
2024-03-22,Karachi,40.4,2.58,Friday
2024-03-22,Islamabad,27.0,5.73,Friday
2024-03-23,Lahore,30.5,1.62,Saturday
2024-03-23,Karachi,39.6,2.21,Saturday
2024-03-23,Islamabad,20.8,4.25,Saturday
2024-03-24,Lahore,23.9,1.95,Sunday
2024-03-24,Karachi,36.6,4.76,Sunday
2024-03-24,Islamabad,18.6,5.74,Sunday
2024-03-25,Lahore,25.4,3.03,Monday
2024-03-25,Karachi,29.0,1.86,Monday
2024-03-25,Islamabad,27.3,2.21,Monday
2024-03-26,Lahore,31.9,2.61,Tuesday
2024-03-26,Karachi,30.8,1.5,Tuesday
2024-03-26,Islamabad,23.5,5.21,Tuesday
2024-03-27,Lahore,33.5,0.95,Wednesday
2024-03-27,Karachi,32.5,3.71,Wednesday
2024-03-27,Islamabad,17.0,5.98,Wednesday
2024-03-28,Lahore,25.4,4.63,Thursday
2024-03-28,Karachi,28.2,0.6,Thursday
2024-03-28,Islamabad,17.2,5.2,Thursday
2024-03-29,Lahore,31.8,1.34,Friday
2024-03-29,Karachi,35.2,0.0,Friday
2024-03-29,Islamabad,26.6,1.75,Friday
2024-03-30,Lahore,25.4,3.83,Saturday
2024-03-30,Karachi,27.7,2.81,Saturday
2024-03-30,Islamabad,33.0,1.63,Saturday
2024-03-31,Lahore,35.8,0.33,Sunday
2024-03-31,Karachi,34.6,4.39,Sunday
2024-03-31,Islamabad,12.2,4.78,Sunday
2024-04-01,Lahore,34.0,2.02,Monday
2024-04-01,Karachi,33.9,1.45,Monday
2024-04-01,Islamabad,27.5,3.18,Monday
2024-04-02,Lahore,38.2,2.02,Tuesday
2024-04-02,Karachi,33.7,1.77,Tuesday
2024-04-02,Islamabad,24.1,3.34,Tuesday
2024-04-03,Lahore,32.8,1.91,Wednesday
2024-04-03,Karachi,33.4,5.54,Wednesday
2024-04-03,Islamabad,32.2,2.14,Wednesday
2024-04-04,Lahore,38.4,0.99,Thursday
2024-04-04,Karachi,21.8,2.85,Thursday
2024-04-04,Islamabad,15.8,4.84,Thursday
2024-04-05,Lahore,30.1,5.49,Friday
2024-04-05,Karachi,33.6,2.07,Friday
2024-04-05,Islamabad,32.0,0.0,Friday
2024-04-06,Lahore,31.6,3.88,Saturday
2024-04-06,Karachi,24.6,5.61,Saturday
2024-04-06,Islamabad,29.0,2.54,Saturday
2024-04-07,Lahore,34.4,5.67,Sunday
2024-04-07,Karachi,32.9,2.89,Sunday
2024-04-07,Islamabad,24.2,2.68,Sunday
2024-04-08,Lahore,35.8,0.75,Monday
2024-04-08,Karachi,32.4,1.89,Monday
2024-04-08,Islamabad,29.9,3.52,Monday
2024-04-09,Lahore,37.3,1.02,Tuesday
2024-04-09,Karachi,30.7,1.42,Tuesday
2024-04-09,Islamabad,24.3,4.51,Tuesday
2024-04-10,Lahore,35.3,0.73,Wednesday
2024-04-10,Karachi,36.3,3.98,Wednesday
2024-04-10,Islamabad,29.5,5.9,Wednesday
2024-04-11,Lahore,24.6,2.04,Thursday
2024-04-11,Karachi,23.1,6.39,Thursday
2024-04-11,Islamabad,30.9,2.76,Thursday
2024-04-12,Lahore,32.0,0.99,Friday
2024-04-12,Karachi,44.2,0.82,Friday
2024-04-12,Islamabad,27.7,4.48,Friday
2024-04-13,Lahore,33.4,2.77,Saturday
2024-04-13,Karachi,28.0,4.03,Saturday
2024-04-13,Islamabad,38.3,3.64,Saturday
2024-04-14,Lahore,41.2,0.37,Sunday
2024-04-14,Karachi,27.1,3.3,Sunday
2024-04-14,Islamabad,27.3,5.09,Sunday
2024-04-15,Lahore,18.2,7.27,Monday
2024-04-15,Karachi,31.2,2.16,Monday
2024-04-15,Islamabad,20.9,2.03,Monday
2024-04-16,Lahore,35.8,2.15,Tuesday
2024-04-16,Karachi,25.6,1.8,Tuesday
2024-04-16,Islamabad,25.0,6.34,Tuesday
2024-04-17,Lahore,28.2,1.05,Wednesday
2024-04-17,Karachi,30.8,2.46,Wednesday
2024-04-17,Islamabad,10.8,6.12,Wednesday
2024-04-18,Lahore,28.4,4.31,Thursday
2024-04-18,Karachi,41.2,2.82,Thursday
2024-04-18,Islamabad,25.4,2.11,Thursday
2024-04-19,Lahore,48.0,0.09,Friday
2024-04-19,Karachi,32.1,2.62,Friday
2024-04-19,Islamabad,28.2,3.09,Friday
2024-04-20,Lahore,26.0,2.85,Saturday
2024-04-20,Karachi,31.8,1.88,Saturday
2024-04-20,Islamabad,22.7,4.37,Saturday
2024-04-21,Lahore,28.2,5.55,Sunday
2024-04-21,Karachi,18.7,6.51,Sunday
2024-04-21,Islamabad,34.5,0.0,Sunday
2024-04-22,Lahore,27.6,2.84,Monday
2024-04-22,Karachi,25.0,2.67,Monday
2024-04-22,Islamabad,20.3,7.24,Monday
2024-04-23,Lahore,36.5,3.82,Tuesday
2024-04-23,Karachi,35.6,0.37,Tuesday
2024-04-23,Islamabad,23.9,4.76,Tuesday
2024-04-24,Lahore,21.4,5.5,Wednesday
2024-04-24,Karachi,30.8,2.3,Wednesday
2024-04-24,Islamabad,31.3,3.46,Wednesday
2024-04-25,Lahore,27.5,5.16,Thursday
2024-04-25,Karachi,26.6,4.49,Thursday
2024-04-25,Islamabad,30.6,2.44,Thursday
2024-04-26,Lahore,32.3,0.74,Friday
2024-04-26,Karachi,36.6,1.62,Friday
2024-04-26,Islamabad,23.9,5.6,Friday
2024-04-27,Lahore,25.1,1.71,Saturday
2024-04-27,Karachi,24.2,4.87,Saturday
2024-04-27,Islamabad,19.3,7.41,Saturday
2024-04-28,Lahore,15.4,7.97,Sunday
2024-04-28,Karachi,33.1,2.35,Sunday
2024-04-28,Islamabad,23.7,4.64,Sunday
2024-04-29,Lahore,29.7,4.7,Monday
2024-04-29,Karachi,32.6,2.8,Monday
2024-04-29,Islamabad,24.8,3.78,Monday
2024-04-30,Lahore,32.2,0.08,Tuesday
2024-04-30,Karachi,25.3,4.91,Tuesday
2024-04-30,Islamabad,28.0,3.05,Tuesday
2024-05-01,Lahore,30.1,3.5,Wednesday
2024-05-01,Karachi,29.3,1.95,Wednesday
2024-05-01,Islamabad,28.2,1.84,Wednesday
2024-05-02,Lahore,32.9,0.0,Thursday
2024-05-02,Karachi,37.1,2.52,Thursday
2024-05-02,Islamabad,28.5,4.72,Thursday
2024-05-03,Lahore,41.7,2.58,Friday
2024-05-03,Karachi,22.8,2.28,Friday
2024-05-03,Islamabad,23.3,4.16,Friday
2024-05-04,Lahore,33.6,1.31,Saturday
2024-05-04,Karachi,32.9,1.38,Saturday
2024-05-04,Islamabad,23.3,2.0,Saturday
2024-05-05,Lahore,23.5,2.05,Sunday
2024-05-05,Karachi,27.1,5.06,Sunday
2024-05-05,Islamabad,21.3,8.4,Sunday
2024-05-06,Lahore,33.5,2.7,Monday
2024-05-06,Karachi,27.7,4.43,Monday
2024-05-06,Islamabad,23.5,4.26,Monday
2024-05-07,Lahore,47.9,0.0,Tuesday
2024-05-07,Karachi,37.7,0.65,Tuesday
2024-05-07,Islamabad,26.8,6.19,Tuesday
2024-05-08,Lahore,25.6,6.45,Wednesday
2024-05-08,Karachi,35.5,1.23,Wednesday
2024-05-08,Islamabad,30.8,4.33,Wednesday
2024-05-09,Lahore,34.4,0.0,Thursday
2024-05-09,Karachi,28.4,2.9,Thursday
2024-05-09,Islamabad,26.6,4.51,Thursday
2024-05-10,Lahore,31.2,0.79,Friday
2024-05-10,Karachi,33.9,3.27,Friday
2024-05-10,Islamabad,30.4,4.56,Friday
2024-05-11,Lahore,35.8,2.72,Saturday
2024-05-11,Karachi,31.6,0.23,Saturday
2024-05-11,Islamabad,29.6,3.38,Saturday
2024-05-12,Lahore,31.9,0.77,Sunday
2024-05-12,Karachi,26.6,5.15,Sunday
2024-05-12,Islamabad,26.8,4.56,Sunday
2024-05-13,Lahore,30.2,3.01,Monday
2024-05-13,Karachi,36.7,1.11,Monday
2024-05-13,Islamabad,27.6,2.71,Monday
2024-05-14,Lahore,27.0,3.04,Tuesday
2024-05-14,Karachi,33.1,1.76,Tuesday
2024-05-14,Islamabad,34.5,0.9,Tuesday
2024-05-15,Lahore,28.7,2.56,Wednesday
2024-05-15,Karachi,39.2,1.76,Wednesday
2024-05-15,Islamabad,33.2,0.24,Wednesday
2024-05-16,Lahore,31.9,4.02,Thursday
2024-05-16,Karachi,32.4,4.2,Thursday
2024-05-16,Islamabad,23.9,6.13,Thursday
2024-05-17,Lahore,46.1,0.0,Friday
2024-05-17,Karachi,29.8,5.22,Friday
2024-05-17,Islamabad,36.5,1.14,Friday
2024-05-18,Lahore,27.1,3.07,Saturday
2024-05-18,Karachi,25.3,2.41,Saturday
2024-05-18,Islamabad,21.0,3.35,Saturday
2024-05-19,Lahore,29.8,3.39,Sunday
2024-05-19,Karachi,39.8,0.0,Sunday
2024-05-19,Islamabad,32.9,2.19,Sunday
2024-05-20,Lahore,29.7,4.07,Monday
2024-05-20,Karachi,26.4,4.18,Monday
2024-05-20,Islamabad,28.0,4.07,Monday
2024-05-21,Lahore,32.0,6.35,Tuesday
2024-05-21,Karachi,28.8,2.4,Tuesday
2024-05-21,Islamabad,23.3,3.29,Tuesday
2024-05-22,Lahore,25.5,5.53,Wednesday
2024-05-22,Karachi,39.1,0.63,Wednesday
2024-05-22,Islamabad,22.0,5.04,Wednesday
2024-05-23,Lahore,26.1,4.59,Thursday
2024-05-23,Karachi,33.0,0.22,Thursday
2024-05-23,Islamabad,36.3,4.65,Thursday
2024-05-24,Lahore,25.7,3.13,Friday
2024-05-24,Karachi,33.4,2.93,Friday
2024-05-24,Islamabad,31.0,5.86,Friday
2024-05-25,Lahore,28.8,2.01,Saturday
2024-05-25,Karachi,25.1,2.72,Saturday
2024-05-25,Islamabad,26.8,6.22,Saturday
2024-05-26,Lahore,26.4,3.94,Sunday
2024-05-26,Karachi,31.9,4.46,Sunday
2024-05-26,Islamabad,42.2,0.18,Sunday
2024-05-27,Lahore,26.6,5.14,Monday
2024-05-27,Karachi,35.4,4.87,Monday
2024-05-27,Islamabad,30.5,2.38,Monday
2024-05-28,Lahore,34.1,3.97,Tuesday
2024-05-28,Karachi,36.1,2.74,Tuesday
2024-05-28,Islamabad,33.4,4.19,Tuesday
2024-05-29,Lahore,39.7,2.36,Wednesday
2024-05-29,Karachi,31.2,3.03,Wednesday
2024-05-29,Islamabad,34.2,1.07,Wednesday
2024-05-30,Lahore,32.6,1.98,Thursday
2024-05-30,Karachi,32.1,4.56,Thursday
2024-05-30,Islamabad,28.1,3.38,Thursday
2024-05-31,Lahore,20.5,5.71,Friday
2024-05-31,Karachi,35.2,5.37,Friday
2024-05-31,Islamabad,25.2,4.14,Friday
2024-06-01,Lahore,31.7,5.08,Saturday
2024-06-01,Karachi,31.5,3.16,Saturday
2024-06-01,Islamabad,30.6,3.17,Saturday
2024-06-02,Lahore,26.9,3.81,Sunday
2024-06-02,Karachi,37.4,0.23,Sunday
2024-06-02,Islamabad,27.8,2.32,Sunday
2024-06-03,Lahore,38.4,0.0,Monday
2024-06-03,Karachi,29.2,3.7,Monday
2024-06-03,Islamabad,36.4,1.84,Monday
2024-06-04,Lahore,26.1,6.47,Tuesday
2024-06-04,Karachi,24.8,0.58,Tuesday
2024-06-04,Islamabad,29.6,2.31,Tuesday
2024-06-05,Lahore,22.9,5.25,Wednesday
2024-06-05,Karachi,33.2,1.62,Wednesday
2024-06-05,Islamabad,19.3,6.09,Wednesday
2024-06-06,Lahore,34.6,2.09,Thursday
2024-06-06,Karachi,41.2,0.0,Thursday
2024-06-06,Islamabad,17.8,3.99,Thursday
2024-06-07,Lahore,29.7,3.42,Friday
2024-06-07,Karachi,30.8,3.4,Friday
2024-06-07,Islamabad,19.5,6.92,Friday
2024-06-08,Lahore,29.4,4.77,Saturday
2024-06-08,Karachi,33.7,3.07,Saturday
2024-06-08,Islamabad,30.4,3.6,Saturday
2024-06-09,Lahore,34.5,4.24,Sunday
2024-06-09,Karachi,33.0,3.57,Sunday
2024-06-09,Islamabad,26.5,5.75,Sunday
2024-06-10,Lahore,25.3,6.49,Monday
2024-06-10,Karachi,31.8,0.55,Monday
2024-06-10,Islamabad,27.8,2.35,Monday
2024-06-11,Lahore,35.9,1.04,Tuesday
2024-06-11,Karachi,29.8,0.2,Tuesday
2024-06-11,Islamabad,24.3,0.32,Tuesday
2024-06-12,Lahore,18.9,5.99,Wednesday
2024-06-12,Karachi,35.9,2.65,Wednesday
2024-06-12,Islamabad,21.2,4.4,Wednesday
2024-06-13,Lahore,30.0,1.27,Thursday
2024-06-13,Karachi,39.5,2.73,Thursday
2024-06-13,Islamabad,25.7,3.76,Thursday
2024-06-14,Lahore,31.5,0.0,Friday
2024-06-14,Karachi,30.8,1.85,Friday
2024-06-14,Islamabad,21.0,4.08,Friday
2024-06-15,Lahore,42.6,1.86,Saturday
2024-06-15,Karachi,29.1,4.0,Saturday
2024-06-15,Islamabad,35.4,3.49,Saturday
2024-06-16,Lahore,30.4,1.96,Sunday
2024-06-16,Karachi,35.5,2.68,Sunday
2024-06-16,Islamabad,32.4,3.56,Sunday
2024-06-17,Lahore,37.3,0.97,Monday
2024-06-17,Karachi,38.6,1.87,Monday
2024-06-17,Islamabad,39.5,0.39,Monday
2024-06-18,Lahore,42.2,1.27,Tuesday
2024-06-18,Karachi,28.7,2.48,Tuesday
2024-06-18,Islamabad,25.1,4.46,Tuesday
2024-06-19,Lahore,33.7,1.53,Wednesday
2024-06-19,Karachi,31.9,5.9,Wednesday
2024-06-19,Islamabad,37.4,2.43,Wednesday
2024-06-20,Lahore,30.3,3.14,Thursday
2024-06-20,Karachi,35.1,0.62,Thursday
2024-06-20,Islamabad,25.5,1.25,Thursday
2024-06-21,Lahore,32.8,3.51,Friday
2024-06-21,Karachi,29.6,5.43,Friday
2024-06-21,Islamabad,19.6,2.53,Friday
2024-06-22,Lahore,31.6,4.31,Saturday
2024-06-22,Karachi,40.4,0.58,Saturday
2024-06-22,Islamabad,33.5,2.36,Saturday
2024-06-23,Lahore,28.8,4.53,Sunday
2024-06-23,Karachi,35.3,0.0,Sunday
2024-06-23,Islamabad,35.9,4.09,Sunday
2024-06-24,Lahore,25.6,4.32,Monday
2024-06-24,Karachi,34.5,2.65,Monday
2024-06-24,Islamabad,23.7,3.04,Monday
2024-06-25,Lahore,29.8,4.79,Tuesday
2024-06-25,Karachi,34.7,1.66,Tuesday
2024-06-25,Islamabad,31.6,0.0,Tuesday
2024-06-26,Lahore,38.0,0.0,Wednesday
2024-06-26,Karachi,30.2,1.29,Wednesday
2024-06-26,Islamabad,19.2,6.54,Wednesday
2024-06-27,Lahore,26.7,4.07,Thursday
2024-06-27,Karachi,31.8,3.42,Thursday
2024-06-27,Islamabad,27.5,1.5,Thursday
2024-06-28,Lahore,37.0,1.1,Friday
2024-06-28,Karachi,24.2,3.32,Friday
2024-06-28,Islamabad,36.0,3.27,Friday
2024-06-29,Lahore,27.6,2.88,Saturday
2024-06-29,Karachi,30.4,6.05,Saturday
2024-06-29,Islamabad,29.3,3.76,Saturday
2024-06-30,Lahore,37.2,2.16,Sunday
2024-06-30,Karachi,30.7,2.59,Sunday
2024-06-30,Islamabad,26.6,3.52,Sunday
2024-07-01,Lahore,35.1,2.23,Monday
2024-07-01,Karachi,35.7,1.94,Monday
2024-07-01,Islamabad,27.5,0.42,Monday
2024-07-02,Lahore,36.4,2.45,Tuesday
